t_s,wall_time_s,debug_age_s,cmd_age_s,odom_age_s,control_error_age_s,mode,mode_code,raw_valid,cmd_published,lane_state,confidence,fps_est,epsilon_x_mm,e_x_f_mm,e_x_used_mm,theta_raw_rad,theta_f_rad,theta_used_rad,de_x_f,dtheta_f,k_lat_used,k_theta_used,kd_lat,kd_theta,p_lat,p_theta,d_lat,d_theta,v_des,v_ref,v_cmd_internal,cmd_v_topic,odom_v,omega_raw,omega_des,omega_ref,omega_cmd_internal,cmd_omega_topic,odom_omega,omega_limit,curve_confirmed,curve_evidence,center_zone,near_zone,large_error,slow_factor,kappa_m,L_d_m,v_left_est,v_right_est,delta_v_cmd,odom_x,odom_y,odom_yaw,linear_tracking_error,angular_tracking_error
8.045957803726196,1784883164.784253,6.437301635742188e-05,0.3523259162902832,0.34176158905029297,0.34545230865478516,curve_pd,1,1,1,FOLLOW_MAIN,1.0,4.763505477796496,-135.6,-135.5999999692129,-135.5999999692129,-0.231,-0.23100000087208186,-0.23100000087208186,-2.4147292115002358e-05,0.00014578349686731758,0.58,0.72,0.01,0.05,0.07864799998214346,0.16632000062789892,2.414729211500236e-07,-7.289174843365879e-06,0.07599355358928289,0.07031836383970222,0.07031836383970222,0.026437960960029157,0.036249998956918716,0.24496095290812017,0.24496095290812017,0.24496095290812017,0.24496095290812017,0.24494431165743744,0.31521737575531006,0.38,1,2.0,0,0,0,0.7999321430450831,-0.035953589922361084,nan,0.05378349951840411,0.08685322816100033,0.03306972864259622,10.416102409362793,-3.6894118785858154,-1.119468806941965,-0.00981203799688956,-0.07027306409787262
8.437050580978394,1784883165.1753457,0.3911571502685547,0.38773298263549805,3.695487976074219e-05,0.7365446090698242,curve_pd,1,1,1,FOLLOW_MAIN,1.0,4.763505477796496,-135.6,-135.5999999692129,-135.5999999692129,-0.231,-0.23100000087208186,-0.23100000087208186,-2.4147292115002358e-05,0.00014578349686731758,0.58,0.72,0.01,0.05,0.07864799998214346,0.16632000062789892,2.414729211500236e-07,-7.289174843365879e-06,0.07599355358928289,0.07031836383970222,0.07031836383970222,0.07353659023990622,0.036249998956918716,0.24496095290812017,0.24496095290812017,0.24496095290812017,0.24496095290812017,0.24496095290812017,0.31521737575531006,0.38,1,2.0,0,0,0,0.7999321430450831,-0.035953589922361084,nan,0.05378349951840411,0.08685322816100033,0.03306972864259622,10.425686836242676,-3.7060189247131348,-0.952561052670108,0.0372865912829875,-0.07025642284718989
8.739012241363525,1784883165.4773076,0.6931192874908447,0.6896953582763672,0.301999568939209,5.7697296142578125e-05,curve_pd,1,1,1,FOLLOW_MAIN,1.0,4.763505477796496,-135.6,-135.5999999692129,-135.5999999692129,-0.231,-0.23100000087208186,-0.23100000087208186,-2.4147292115002358e-05,0.00014578349686731758,0.58,0.72,0.01,0.05,0.07864799998214346,0.16632000062789892,2.414729211500236e-07,-7.289174843365879e-06,0.07599355358928289,0.07031836383970222,0.07031836383970222,0.07353659023990622,0.036249998956918716,0.24496095290812017,0.24496095290812017,0.24496095290812017,0.24496095290812017,0.24496095290812017,0.31521737575531006,0.38,1,2.0,0,0,0,0.7999321430450831,-0.035953589922361084,nan,0.05378349951840411,0.08685322816100033,0.03306972864259622,10.425686836242676,-3.7060189247131348,-0.952561052670108,0.0372865912829875,-0.07025642284718989
9.093106269836426,1784883165.8314016,0.3502674102783203,0.3468356132507324,0.3317859172821045,0.35415148735046387,curve_pd,1,1,1,FOLLOW_MAIN,1.0,6.111747246157735,-137.20000000000002,-135.59999999957492,-135.59999999957492,-0.775,-0.23100000001204057,-0.23100000001204057,-3.272769898865246e-06,1.9759368904795463e-05,0.58,0.72,0.01,0.05,0.07864799999975344,0.1663200000086692,3.272769898865246e-08,-9.879684452397731e-07,0.065,0.065,0.065,0.065,0.04712499678134918,0.2449670447676764,0.2449670447676764,0.2449670447676764,0.2449670447676764,0.2449670447676764,0.34673914313316345,0.38,1,3.0,0,0,0,0.6723541959517271,5.0,nan,0.04846472447818184,0.08153527552181816,0.03307055104363632,10.434348106384277,-3.7170910835266113,-0.8353635742776331,0.01787500321865082,-0.10177209836548706
9.426669597625732,1784883166.1649647,0.6838314533233643,6.461143493652344e-05,0.6653501987457275,0.6877155303955078,curve_pd,1,1,1,FOLLOW_MAIN,1.0,6.111747246157735,-137.20000000000002,-135.59999999957492,-135.59999999957492,-0.775,-0.23100000001204057,-0.23100000001204057,-3.272769898865246e-06,1.9759368904795463e-05,0.58,0.72,0.01,0.05,0.07864799999975344,0.1663200000086692,3.272769898865246e-08,-9.879684452397731e-07,0.065,0.065,0.065,0.065,0.04712499678134918,0.2449670447676764,0.2449670447676764,0.2449670447676764,0.2449670447676764,0.2449670447676764,0.34673914313316345,0.38,1,3.0,0,0,0,0.6723541959517271,5.0,nan,0.04846472447818184,0.08153527552181816,0.03307055104363632,10.434348106384277,-3.7170910835266113,-0.8353635742776331,0.01787500321865082,-0.10177209836548706
9.773950338363647,1784883166.5122457,1.0311124324798584,0.34734582901000977,0.34355902671813965,1.0349969863891602,curve_pd,1,1,1,FOLLOW_MAIN,1.0,6.111747246157735,-137.20000000000002,-135.59999999957492,-135.59999999957492,-0.775,-0.23100000001204057,-0.23100000001204057,-3.272769898865246e-06,1.9759368904795463e-05,0.58,0.72,0.01,0.05,0.07864799999975344,0.1663200000086692,3.272769898865246e-08,-9.879684452397731e-07,0.065,0.065,0.065,0.065,0.11962499469518661,0.2449670447676764,0.2449670447676764,0.2449670447676764,0.2449670447676764,0.2449670447676764,0.22065219283103943,0.38,1,3.0,0,0,0,0.6723541959517271,5.0,nan,0.04846472447818184,0.08153527552181816,0.03307055104363632,10.445744514465332,-3.729687452316284,-0.8040310681039368,-0.05462499469518661,0.02431485193663696
10.131096363067627,1784883166.8693912,1.3882570266723633,2.86102294921875e-05,0.7007029056549072,0.34508776664733887,curve_pd,1,1,1,FOLLOW_MAIN,1.0,6.111747246157735,-137.20000000000002,-135.59999999957492,-135.59999999957492,-0.775,-0.23100000001204057,-0.23100000001204057,-3.272769898865246e-06,1.9759368904795463e-05,0.58,0.72,0.01,0.05,0.07864799999975344,0.1663200000086692,3.272769898865246e-08,-9.879684452397731e-07,0.065,0.065,0.065,0.07,0.11962499469518661,0.2449670447676764,0.2449670447676764,0.2449670447676764,0.2449670447676764,0.38,0.22065219283103943,0.38,1,3.0,0,0,0,0.6723541959517271,5.0,nan,0.04846472447818184,0.08153527552181816,0.03307055104363632,10.445744514465332,-3.729687452316284,-0.8040310681039368,-0.04962499469518661,0.15934780716896058
10.449180364608765,1784883167.1874754,1.7063407897949219,0.318112850189209,3.5762786865234375e-05,0.6631720066070557,curve_pd,1,1,1,FOLLOW_MAIN,1.0,6.111747246157735,-137.20000000000002,-135.59999999957492,-135.59999999957492,-0.775,-0.23100000001204057,-0.23100000001204057,-3.272769898865246e-06,1.9759368904795463e-05,0.58,0.72,0.01,0.05,0.07864799999975344,0.1663200000086692,3.272769898865246e-08,-9.879684452397731e-07,0.065,0.065,0.065,0.07,0.07249999791383743,0.2449670447676764,0.2449670447676764,0.2449670447676764,0.2449670447676764,0.38,0.31521737575531006,0.38,1,3.0,0,0,0,0.6723541959517271,5.0,nan,0.04846472447818184,0.08153527552181816,0.03307055104363632,10.502696990966797,-3.7748303413391113,-0.4155566296497269,-0.002499997913837426,0.06478262424468995
10.787914514541626,1784883167.5262096,5.14984130859375e-05,0.3300321102142334,0.3227877616882324,0.33376383781433105,large_error_pd,2,1,1,FOLLOW_MAIN,1.0,6.97041817836853,-72.60000000000001,-117.39643343894284,-117.39643343894284,-0.47800000000000004,-0.694679094569742,-0.694679094569742,0.03228056611264804,0.05404733076702323,0.65,0.72,0.01,0.05,0.07630768173531284,0.5001689480902142,-0.0003228056611264804,-0.0027023665383511617,0.07,0.0373445475200424,0.0373445475200424,0.015,0.09787499904632568,0.5734514576260493,0.38,0.38,0.38,0.328,0.15760867297649384,0.38,1,3.0,0,0,1,0.570443582769739,2.774,nan,0.011694547520042394,0.0629945475200424,0.0513,10.527802467346191,-3.785698175430298,-0.38179653823475107,-0.08287499904632568,0.17039132702350618
11.133452892303467,1784883167.8717477,0.34559035301208496,0.342160701751709,3.457069396972656e-05,0.33478808403015137,large_error_pd,2,1,1,FOLLOW_MAIN,1.0,6.97041817836853,-72.60000000000001,-117.39643343894284,-117.39643343894284,-0.47800000000000004,-0.694679094569742,-0.694679094569742,0.03228056611264804,0.05404733076702323,0.65,0.72,0.01,0.05,0.07630768173531284,0.5001689480902142,-0.0003228056611264804,-0.0027023665383511617,0.07,0.0373445475200424,0.0373445475200424,0.0373445475200424,0.057999998331069946,0.5734514576260493,0.38,0.38,0.38,0.38,0.4413043260574341,0.38,1,3.0,0,0,1,0.570443582769739,2.774,nan,0.011694547520042394,0.0629945475200424,0.0513,10.539669036865234,-3.7903060913085938,-0.3152224450683419,-0.02065545081102755,-0.06130432605743408
